Temperature_Sensor_Sample_Input,Humidity_Sensor_Sample_Input,Light_Sensor_Sample_Input,CO2_Sensor_Sample_Input,HumidityRatio_Sensor_Sample_Input,Golden_Reference_Occupancy
41558,22394,20046,16193,20926,1
41558,22862,20533,16153,21369,1
43157,23302,20448,16426,22203,1
43157,23292,20660,17055,22193,1
44236,23785,20766,17643,22948,1
44595,23858,20851,17897,23113,1
44995,23939,21073,18282,23297,1
45394,24246,20999,18535,23698,1
46194,24620,20999,18951,24272,1
46194,24766,21063,19590,24413,1
46194,24766,21063,19580,24413,1
46194,25037,20999,20198,24674,1
46633,25323,20936,20543,25068,1
47366,25333,21133,20790,25278,1
47952,25565,21370,21131,25664,1
47952,25645,21444,21223,25742,1
47952,25701,21434,21359,25796,1
47952,25757,21423,21496,25850,1
48352,25931,21974,21719,26129,1
48751,26370,21550,22257,26667,1
49018,26504,21345,22575,26872,1
49018,26797,21035,22750,27157,1
49550,26895,21317,23264,27402,1
49550,26949,21444,23595,27454,1
49550,27330,20745,23950,27825,1
49550,26612,20258,24089,27126,1
49550,26592,20258,24183,27107,1
49550,26524,20480,23768,27040,1
49550,26590,20512,23737,27105,1
49550,27256,20173,24143,27754,1
49550,27403,20618,24670,27897,1
49550,27322,20183,25015,27818,1
49550,26363,19876,24832,26883,1
49550,26504,19452,24427,27021,1
49550,26949,19452,24265,27454,1
49550,27198,19452,24292,27697,1
49950,27183,19505,24832,27796,1
49550,27403,18923,24903,27897,1
49550,27403,19770,25238,27897,1
49550,27622,19082,25116,28111,1
49550,27696,18605,24859,28182,1
49550,27688,19082,24893,28175,1
49550,27696,19240,24792,28182,1
49151,27696,19082,24772,28068,1
49151,27762,19240,24893,28132,1
49550,27959,19240,25089,28439,1
49550,27959,19240,24914,28439,1
49550,27959,19399,25076,28439,1
49550,28155,19594,25157,28629,1
49550,28033,19240,25319,28510,1
49550,28252,19346,25360,28725,1
49550,28252,19240,25218,28725,1
49550,28252,19558,25380,28725,1
49550,28252,18817,25319,28725,1
49550,28640,19050,25339,29103,1
49950,28406,19050,25147,28990,1
49550,28487,19050,25096,28953,1
49550,28413,19495,25410,28882,1
49550,28574,19198,25360,29039,1
49550,28413,19050,25451,28882,1
49550,28574,19050,25309,29039,1
49550,28721,19495,25664,29181,1
49550,28574,19198,25360,29039,1
49550,28574,19272,25512,29039,1
49550,28867,19050,25745,29324,1
49550,28867,19050,25664,29324,1
49550,28794,19050,25502,29253,1
50350,28867,19050,25563,29556,1
49550,29160,19304,25806,29610,1
49550,29063,19240,25765,29514,1
49550,29087,19240,25725,29538,1
49550,28941,19876,25741,29395,1
49550,29014,19876,25846,29467,1
49550,28941,19664,25755,29395,1
49550,29014,19876,25725,29467,1
49550,28985,19876,25775,29438,1
49550,28965,19452,25603,29419,0
49550,28867,19452,25299,29324,0
48751,28794,19876,25400,29022,0
48751,28721,19876,25400,28951,0
48352,28406,19876,25208,28530,1
48751,28106,19876,24812,28353,1
47952,27959,19876,24822,27983,1
47952,27959,19876,24792,27983,1
47952,27784,19876,24697,27813,1
49018,27871,19664,24467,28201,1
48751,27828,19240,24183,28083,1
49151,27967,19240,24072,28332,1
49550,27959,19240,24123,28439,1
49550,27828,19558,24143,28311,1
49550,27828,19558,23920,28311,1
49550,27828,19664,23778,28311,1
49550,27828,19452,24062,28311,1
49550,27696,19876,23940,28182,1
49231,27743,19558,24082,28137,1
49550,27696,19240,24386,28182,1
47952,27403,19240,24183,27444,1
49231,27637,19240,24208,28034,1
48352,27476,19240,24244,27628,1
47952,27622,19240,24325,27657,1
48485,27784,19240,24373,27964,1
49151,27893,19240,24761,28261,1
47952,27696,18605,24832,27727,1
49151,27959,18827,24711,28325,1
49018,28155,19198,24792,28477,1
48751,28106,19082,25056,28353,1
49018,28155,19240,25116,28477,1
49151,28113,19240,25157,28474,1
48352,28106,19876,25076,28239,1
48352,28033,19622,25400,28168,1
48485,28252,19961,25617,28419,1
49151,28179,19664,25421,28539,1
49151,28179,19664,25603,28539,1
49018,28360,19664,25630,28676,1
49018,28467,20088,25887,28781,1
49550,28574,20300,25725,29039,1
49550,28574,19717,26009,29039,1
49550,28574,19876,26404,29039,1
49550,28574,19664,26394,29039,1
49550,28648,19781,26303,29110,1
49550,28867,19735,26482,29324,1
49550,28867,19664,26789,29324,1
49550,28867,19452,27212,29324,1
49550,28867,19240,27144,29324,1
50083,28867,19240,26942,29479,1
49550,28867,19240,26955,29324,1
50749,28867,19240,27043,29672,1
50749,28867,19082,26972,29672,1
50749,28867,18764,26566,29672,1
50749,28867,18605,26668,29672,1
51149,28867,18605,26671,29788,1
51149,28867,19050,26881,29788,1
51149,28867,19272,26921,29788,1
51149,28867,18986,26577,29788,1
51149,28867,18817,26718,29788,1
50350,28867,18817,26891,29556,1
50350,28867,18817,26789,29556,1
51149,28867,19269,26617,29788,1
50749,29087,19495,26353,29887,1
51149,29160,19495,26506,30076,1
51149,29346,19043,26252,30258,1
50616,29619,18817,26942,30369,1
51149,29424,18817,27540,30334,1
51149,29619,18817,27766,30526,1
50749,29797,18658,27743,30583,1
51149,29797,18817,28037,30701,1
51149,29717,19269,28077,30621,1
51149,29959,19050,28067,30859,1
51149,30039,19240,28226,30938,1
51149,30039,19240,28534,30938,1
51149,30039,19240,28713,30938,1
51149,30112,19399,28980,31009,1
51149,30039,19240,29264,30938,1
51149,30039,19240,29142,30938,1
51149,30186,19240,29132,31081,1
51149,30039,19240,29081,30938,1
51149,30234,19240,29389,31129,1
51149,30039,19050,29355,30938,1
51149,30259,19495,29051,31153,1
51149,30332,18817,28949,31225,1
51149,30259,18817,29223,31153,1
51149,30234,18817,29456,31129,1
51149,30332,18817,29375,31225,1
50749,30332,18817,29365,31106,1
51149,30332,18817,29142,31225,1
51149,30137,18817,29186,31033,1
51149,30039,18817,28990,30938,1
51149,30112,18817,28463,31009,1
51149,30332,19495,28736,31225,1
51149,30332,19495,28848,31225,1
50749,30552,19272,28980,31322,1
50749,30405,19495,29335,31178,1
50749,30405,19431,29000,31178,1
51149,30332,19558,28787,31225,1
51149,30332,19664,28605,31225,1
51149,30332,19735,28280,31225,1
51149,30259,20406,28483,31153,1
51149,30332,20088,28675,31225,1
51149,30039,20618,28442,30938,1
50749,30039,19982,28067,30820,1
51149,30234,20088,27847,31129,1
51149,30039,20406,27783,30938,1
51149,29878,20724,27611,30780,1
51149,30039,21359,27388,30938,1
51149,30039,21289,27212,30938,1
51149,30039,22207,27286,30938,1
51149,29932,23309,27327,30832,1
51149,29570,23487,27136,30478,1
52108,29619,23832,27104,30808,1
52587,29644,24093,26384,30974,1
52987,29644,25704,26374,31092,1
54186,29424,29518,26982,31229,1
54186,29959,27854,27307,31760,1
54772,30039,31531,27807,32015,1
55504,29717,30037,27834,31913,1
56477,29522,25725,27563,32009,1
57143,29570,27971,27611,32257,1
57542,29424,29179,27895,32230,1
57542,29497,23648,27956,32303,1
57542,29619,28027,28077,32426,1
58741,29717,28204,28331,32886,1
58608,29932,27448,28212,33062,1
59141,30259,27039,28858,33555,1
59500,29299,23648,28899,32692,1
59141,29717,22631,28118,33006,1
59141,29717,22038,28294,33006,1
59141,29797,21762,28584,33088,1
59141,29717,22514,28686,33006,0
59141,29717,22843,28429,33006,0
59141,29717,23129,28067,33006,0
58741,29644,25629,28006,32812,0
59141,29497,25311,27986,32784,0
59141,29160,22377,27469,32443,0
59141,29160,22080,27317,32443,0
59141,29063,22702,27212,32345,0
58741,28794,22599,27002,31954,0
58342,28721,22196,26445,31761,0
58608,28770,22207,25968,31889,0
58342,28721,22080,25887,31761,1
57942,28567,22726,25481,31487,1
57542,28252,23238,25400,31052,1
57942,28567,23976,25339,31487,1
57942,28648,24771,25563,31568,1
57542,28574,22673,25698,31376,1
57542,28574,23154,25657,31376,1
57542,28574,26721,25268,31376,1
58075,28457,24185,25022,31416,1
58342,28560,26699,25197,31598,1
58741,28648,31054,25380,31806,1
59500,28494,29083,24914,31877,1
60100,28252,26933,24711,31810,0
61645,28057,28649,24822,32072,0
62178,27828,24040,24630,31996,0
62178,27696,24686,24447,31861,0
62178,27403,26223,24102,31562,0
62178,27622,24549,23717,31786,0
62178,27500,25018,23900,31662,0
62178,27403,24771,23818,31562,0
62178,27110,23902,23727,31262,0
62178,26949,22631,23291,31097,1
61379,26868,21042,23129,30780,1
61112,26690,14437,23129,30520,1
60579,26714,1642,22967,30389,0
60579,26592,1313,22886,30265,0
60579,27029,1133,22257,30709,0
59860,27110,932,22328,30580,0
59141,27110,550,22764,30370,0
59141,27330,1313,22409,30592,0
58608,27305,1384,22291,30411,0
57542,27256,1419,22074,30051,0
57542,27403,1186,21770,30198,0
57010,27403,1313,21804,30043,0
56344,27403,1419,21770,29849,0
55944,27403,1313,21740,29733,0
55944,27403,1313,21547,29733,0
54625,27256,1419,21162,29205,0
54186,27403,1419,21050,29224,0
54186,27403,1214,20925,29224,0
54186,27403,1949,20999,29224,0
54186,27403,2246,20705,29224,0
54186,27403,3030,20614,29224,0
53387,27403,4365,20432,28994,0
53120,27403,3884,20263,28917,0
52587,27403,3814,19854,28764,0
52587,27403,3461,19884,28764,0
52587,27403,4778,19702,28764,0
52587,27598,14169,19776,28956,1
52587,27549,20014,19509,28908,1
52587,27403,21338,19458,28764,0
52228,27615,24051,19093,28870,0
52587,27959,24125,18921,29313,0
52587,27871,20794,19249,29226,0
52587,27696,20653,19357,29053,0
52587,27696,21190,19408,29053,0
52587,27696,22207,19397,29053,0
52587,27622,23111,18992,28981,0
52987,27403,22063,18394,28879,0
52587,27403,21571,18329,28764,0
53387,27403,20194,18546,28994,0
52987,27403,19982,18221,28879,0
52587,27403,19664,18039,28764,0
52587,27403,19664,17788,28764,0
52587,27403,19452,17603,28764,0
52587,27403,19452,17518,28764,0
52587,27403,19272,17450,28764,0
52587,27403,18817,17349,28764,0
52587,27183,19325,16974,28547,0
52587,27110,19537,16883,28475,0
52587,27110,19558,16741,28475,0
52587,27110,19664,16261,28475,0
52587,27110,20194,16477,28475,0
52587,27110,20724,16497,28475,0
52587,26949,20724,16112,28316,0
52587,26949,20512,16092,28316,1
52587,27002,19240,15747,28369,1
52228,26788,19113,15504,28055,0
52228,26788,19050,15098,28055,0
52228,26868,19050,15504,28134,0
52587,26895,19198,15514,28263,0
51868,26788,19145,15605,27953,0
52587,26788,19452,15585,28157,0
52228,26788,19452,15524,28055,0
52228,26714,19664,15078,27983,0
52587,26788,19240,14713,28157,0
51628,26592,19240,14787,27693,0
51508,26795,18986,14713,27858,0
51149,26993,19198,14895,27950,1
51508,27081,18817,14956,28138,1
51149,27469,18817,14763,28417,1
51149,27256,18817,14976,28208,1
51149,27734,18728,15244,28677,1
51149,28211,18639,15512,29145,1
51149,28867,18753,16457,29788,1
51149,29063,18944,16856,29980,1
51149,29292,18795,17207,30205,1
51149,29522,18689,17031,30430,1
51149,29878,18562,17633,30780,1
51149,30039,18562,17694,30938,1
51149,29797,18562,17734,30701,1
51149,29797,18944,17430,30701,1
51149,30332,18689,17288,31225,1
51868,30405,18562,17643,31511,1
51149,30615,18689,18140,31503,1
51149,31262,18562,19184,32137,1
51149,31504,18181,20168,32375,1
52228,31277,18181,20462,32476,1
51149,29739,18562,20563,30643,1
51628,32177,18689,21060,33181,1
51149,32221,18562,21466,33079,1
52228,33042,18181,22186,34216,1
51149,32968,18817,22460,33812,1
51149,33261,19113,22629,34099,1
51868,33620,19240,23362,34674,1
51508,33620,19717,23687,34563,1
51508,34045,20109,24305,34980,1
52587,34111,20300,24670,35382,1
51868,33686,22271,24609,34739,1
52587,34111,21826,24630,35382,1
52587,34433,20936,25319,35700,1
52587,34218,20653,25725,35488,1
52987,34111,20109,25887,35507,1
53120,34111,20597,25941,35549,1
52587,34013,21289,25779,35286,1
52587,33964,22906,25867,35237,1
53387,34111,21359,25938,35632,1
54186,33554,20724,25968,35330,1
54186,33554,20777,25887,35330,1
54186,33828,22730,25833,35602,1
54186,34111,22546,26009,35883,1
54186,33825,23012,26566,35599,1
54772,33554,23012,26509,35513,1
55065,33686,23012,26516,35736,1
55944,34038,22599,27104,36364,1
55358,33925,22334,27117,36067,1
55944,33898,22631,27246,36225,1
56743,33898,22461,27165,36477,1
55944,33964,22207,27367,36291,1
56344,34111,22302,27631,36564,1
55944,34111,22122,28010,36437,1
55944,33066,21910,27847,35392,1
56344,33042,21762,27266,35493,1
57143,33613,22207,27317,36317,1
57542,33554,21762,27996,36384,1
57542,33686,21762,28148,36517,1
55944,33818,21762,28037,36144,1
57542,33891,21953,27966,36723,1
56743,33752,22069,27773,36330,1
57542,33818,22249,27874,36649,1
57542,33686,22242,27915,36517,1
57542,33554,22235,27956,36384,1
57542,34111,20724,27976,36944,1
57542,34111,20088,28442,36944,1
57542,33964,20088,28361,36797,1
57542,33474,20035,28422,36303,1
57542,33400,19982,28087,36229,1
57542,33642,19664,28050,36472,1
57542,33359,19876,28172,36187,1
57143,32968,19717,28209,35669,1
57542,32968,19240,27942,35794,1
56743,32441,19082,27753,35016,1
56344,32426,19050,27560,34877,1
55944,32426,19272,27986,34753,1
55944,32221,19050,27753,34548,1
56344,32090,19272,27320,34540,1
56743,32090,19272,27550,34663,1
55944,31797,19495,27266,34123,1
55944,32090,19495,27225,34416,1
55944,31797,18499,26911,34123,1
55944,31006,19495,26279,33333,1
56743,31343,19050,25907,33914,1
55944,31423,19527,26333,33750,1
55944,31182,19537,26590,33509,1
55944,31035,19240,26820,33362,1
55944,30889,19876,26739,33216,1
55944,30962,19876,26577,33289,1
55944,30889,20328,26739,33216,1
55944,30691,20205,26769,33018,1
55944,30691,20194,26820,33018,1
55944,30625,20088,26617,32952,1
55944,30479,20406,26587,32806,1
55944,30691,20088,27053,33018,1
55504,30618,20300,27266,32812,1
55944,30527,19876,26495,32855,1
55944,30405,20088,26394,32733,1
55944,30479,19876,26475,32806,1
55944,30405,20088,26708,32733,1
55944,30234,20300,26577,32562,1
55944,30332,20279,26445,32659,1
55944,30332,20279,26688,32659,1
55944,30332,20215,26752,32659,1
55944,30112,19929,27033,32440,1
55944,30039,19876,26394,32367,1
55944,30039,19523,26833,32367,1
55944,29959,19717,26607,32286,1
55944,29258,19170,26414,31586,1
55944,29819,18923,25786,32147,1
55944,29959,19050,26029,32286,1
55944,30186,19495,26070,32513,1
55065,29746,19325,26414,31811,1
54625,29512,19325,26384,31447,1
54186,29151,18817,26982,30958,1
54186,29932,18817,26549,31733,1
54186,30105,19272,26850,31905,1
54186,29522,19198,26955,31326,1
54186,29570,19050,26769,31375,1
54186,29292,19050,26830,31099,1
54186,29424,19325,26820,31229,1
53653,29248,19043,26590,30898,1
54186,28787,18817,26364,30597,1
54186,29087,18817,26110,30895,1
54186,29146,18817,26009,30953,1
54186,29292,18817,26577,31099,1
54186,29424,18817,26820,31229,1
54625,29014,18817,27013,30952,1
55504,29292,18181,26962,31490,1
55065,29146,18181,26962,31213,1
55065,29292,18181,27195,31359,1
54772,29151,18181,27388,31131,1
54186,29424,18562,27307,31229,1
54772,29248,18689,27374,31229,1
54186,28714,18562,26860,30525,1
54186,28333,18562,26566,30147,1
54186,28672,18689,26414,30483,1
54186,28446,18562,26384,30259,1
54186,27871,18340,26475,29689,1
54186,28360,18817,26604,30173,1
54186,28333,18817,26789,30147,1
54186,28106,18817,26313,29921,1
54186,28057,18817,26266,29873,1
54186,28467,18817,26144,30280,1
54186,27154,18817,26100,28977,1
54186,27242,18181,25684,29064,1
54186,27959,18435,25833,29776,1
54186,27893,18562,25958,29711,1
54186,27959,18562,25623,29776,1
54186,28057,18689,25995,29873,1
53653,28057,18689,26211,29718,1
54186,28106,18562,26546,29921,1
53786,27959,18562,26546,29660,1
53120,28252,18689,26468,29756,1
53387,28252,18562,26607,29834,1
53387,28252,18944,26850,29834,1
53120,28467,18944,26915,29969,1
53786,28494,18944,26962,30190,1
52987,28113,18562,26779,29580,1
53387,27535,18562,26577,29124,1
52587,27527,18562,26323,28887,1
52587,26231,18689,25671,27609,1
52587,27754,18562,25502,29110,1
52587,27820,18753,25887,29175,1
52587,27476,18562,26222,28836,1
52987,27696,18562,26455,29168,1
52587,27622,18753,26445,28981,1
52587,27403,18689,26036,28764,1
52587,27095,18944,25542,28461,1
52228,26795,18562,25400,28062,1
52587,26788,18944,25292,28157,1
52587,26788,18944,25299,28157,1
52587,26690,18350,25387,28061,1
51868,26297,18350,25056,27471,1
51628,26133,18350,24778,27242,1
52587,25938,18350,24609,27320,1
51868,25792,18350,24224,26974,1
52228,25865,18350,23930,27147,1
52587,25841,18350,23913,27224,1
52228,25638,18350,23768,26923,1
51868,25792,18350,23900,26974,1
52587,25645,18350,23910,27031,1
52587,25645,18350,23879,27031,1
52587,25484,18350,23758,26872,1
52587,24766,18350,23443,26165,1
52587,24854,18350,23453,26252,1
51868,24620,18350,23251,25822,1
52587,24964,18350,22855,26360,1
52587,24766,18350,22439,26165,1
52587,24766,18350,22453,26165,1
52587,24620,18350,22500,26021,1
52587,24268,18350,22602,25674,1
51508,23785,18350,21983,24904,1
52108,23673,18350,21858,24957,1
51868,23858,18350,21415,25074,1
51868,23858,18350,21202,25074,1
51508,23712,18350,21111,24832,1
51149,23302,18350,21290,24332,1
51149,23302,18350,21304,24332,1
51149,23302,18350,21121,24332,1
51149,23302,18350,20797,24332,1
51149,23155,18350,20614,24189,1
51149,22911,18350,20587,23950,1
51149,22862,18350,20259,23902,1
51149,22230,18202,20290,23282,1
51149,22247,18350,19884,23299,1
51149,22408,18350,19985,23457,1
51149,22247,18350,20046,23299,1
51149,22296,18350,19884,23347,1
50749,22394,18350,19783,23336,1
50749,22321,18350,19773,23265,1
51149,22321,18350,19783,23371,1
50083,22101,18350,19708,22873,1
50350,21903,18350,19438,22751,1
50083,21837,18350,19195,22616,1
49550,22035,18350,19124,22668,1
49550,21969,18350,19235,22604,1
49550,22101,18350,19113,22732,1
49950,22035,18350,18890,22774,1
50083,22013,18350,19235,22788,1
49950,21691,18350,19042,22438,1
49550,21464,18350,18921,22112,1
49550,21242,18350,18383,21896,1
49550,21603,18350,18383,22248,1
49018,21037,18350,18262,21558,1
48352,21090,18350,17866,21437,1
47952,21037,18350,18059,21282,1
47952,20929,18350,17836,21178,1
47952,20929,18350,17761,21178,1
48352,21010,18350,17613,21359,1
47952,20929,18350,17356,21178,1
49151,21171,18054,17288,21723,1
48352,21390,9027,17552,21728,1
47952,21544,0,17491,21773,0
47952,21544,0,17599,21773,0
47952,21544,0,17816,21773,0
47073,20651,0,17775,20683,0
46194,20831,0,16707,20631,0
46194,20783,0,16396,20584,0
45394,20504,0,16261,20113,0
45394,20504,0,15909,20113,0
44595,20373,0,15990,19784,0
44595,20504,0,15706,19910,0
44595,20373,0,14936,19784,0
43876,19933,0,14753,19184,0
43157,20373,0,14530,19421,0
43157,20275,0,14692,19328,0
43157,20275,0,14530,19328,0
43157,19464,0,14206,18558,0
43157,19933,0,13881,19003,0
41558,20080,0,13841,18742,0
43157,20080,0,13881,19142,0
41558,19474,0,13868,18171,0
41558,19933,0,13739,18604,0
41558,19787,0,13618,18466,0
40759,19787,0,13496,18267,0
40759,19626,0,13638,18116,0
41025,19787,0,13543,18333,0
40759,19787,0,13212,18267,0
39960,19347,0,12969,17658,0
39960,19084,0,12685,17410,0
39960,19040,0,12124,17369,0
39960,18996,0,11880,17328,0
39960,18469,0,11752,16834,0
38202,18469,0,11752,16409,0
38202,18161,0,11590,16122,0
38202,17707,0,11569,15699,0
38202,17429,0,10738,15440,0
37402,17004,0,10515,14857,0
36603,17150,0,10292,14805,0
37136,16955,0,10204,14749,0
37402,16550,0,10048,14435,0
37402,16550,0,9785,14435,0
36603,15232,0,9622,13030,0
36603,14953,0,9034,12773,0
35884,14646,0,8973,12326,0
35165,14646,0,8872,12164,0
35165,15378,0,8852,12837,0
35884,15686,0,9115,13285,0
36603,15686,0,9217,13450,0
36603,14992,0,9163,12809,0
36603,13928,0,8730,11824,0
36603,13459,0,8284,11391,0
35165,12952,0,8095,10606,0
35165,14123,0,7959,11683,0
35165,14221,0,8243,11773,0
35165,14075,0,8162,11638,0
35165,13767,0,8142,11356,0
35165,13035,0,8061,10682,0
35165,13049,0,7594,10696,0
35165,13508,0,7554,11118,0
35165,12659,0,7297,10337,0
35165,13137,0,7310,10777,0
35165,13049,0,7027,10696,0
35165,13049,0,6986,10696,0
36603,12756,0,7290,10741,0
36603,12756,0,7310,10741,0
36603,12141,0,6905,10173,0
36603,11438,0,6756,9523,0
36603,12141,0,6702,10173,0
36603,11724,0,6398,9787,0
36603,11863,0,6418,9915,0
36603,11438,0,6418,9523,0
35884,11848,0,6114,9747,0
35165,10984,0,5992,8798,0
35165,10686,0,5810,8524,0
35165,10479,0,5577,8333,0
35165,9893,0,5343,7795,0
35165,10198,0,5472,8075,0
35165,9534,0,5364,7465,0
33566,10120,0,4999,7671,0
33566,9827,0,5080,7403,0
33566,10105,0,5140,7657,0
33566,10252,0,5262,7791,0
34365,10252,0,5120,7958,0
33566,9632,0,4850,7225,0
34365,9534,0,4917,7300,0
34365,9534,0,5100,7300,0
35165,9427,0,5080,7366,0
35165,9520,0,5140,7452,0
35165,9227,0,4796,7183,0
35165,9534,0,4613,7465,0
35165,9427,0,4431,7366,0
35165,9227,0,4593,7183,0
35165,9373,0,4458,7317,0
35165,9066,0,4566,7035,0
35165,8919,0,4201,6900,0
34365,8509,0,4350,6361,0
33566,8934,0,4167,6587,0
33566,8919,0,4086,6574,0
33566,8919,0,4228,6574,0
33566,8919,0,4228,6574,0
34765,8919,0,4137,6818,0
35165,8450,0,3944,6469,0
33566,7454,0,3680,5237,0
33566,7747,0,3619,5504,0
33566,8509,0,3478,6200,0
33167,8509,0,3478,6119,0
32767,8363,0,3640,5905,0
33566,8655,0,3741,6333,0
34365,8216,0,3802,6093,0
34365,7909,0,3538,5811,0
35165,8363,0,3376,6389,0
34765,7901,0,3508,5885,0
34632,8060,0,3444,6003,0
34365,8216,0,3417,6093,0
33566,8070,0,3457,5798,0
35165,7747,0,3336,5824,0
35165,7601,0,3194,5689,0
34365,7762,0,3173,5677,0
34632,8070,0,3254,6012,0
